NACA 4212
    1.000000      0.1260000E-02
   0.9920511      0.3160797E-02
   0.9811200      0.5744207E-02
   0.9683389      0.8720624E-02
   0.9540895      0.1198357E-01
   0.9388899      0.1540067E-01
   0.9231620      0.1886863E-01
   0.9071635      0.2232648E-01
   0.8910282      0.2574349E-01
   0.8748210      0.2910546E-01
   0.8585722      0.3240610E-01
   0.8422962      0.3564267E-01
   0.8260003      0.3881396E-01
   0.8096881      0.4191938E-01
   0.7933622      0.4495855E-01
   0.7770242      0.4793113E-01
   0.7606757      0.5083671E-01
   0.7443180      0.5367480E-01
   0.7279524      0.5644480E-01
   0.7115801      0.5914602E-01
   0.6952024      0.6177761E-01
   0.6788208      0.6433862E-01
   0.6624363      0.6682795E-01
   0.6460506      0.6924440E-01
   0.6296648      0.7158660E-01
   0.6132804      0.7385304E-01
   0.5968990      0.7604210E-01
   0.5805219      0.7815197E-01
   0.5641509      0.8018070E-01
   0.5477874      0.8212620E-01
   0.5314333      0.8398619E-01
   0.5150903      0.8575823E-01
   0.4987603      0.8743971E-01
   0.4824454      0.8902784E-01
   0.4661477      0.9051963E-01
   0.4498694      0.9191189E-01
   0.4336132      0.9320123E-01
   0.4173817      0.9438405E-01
   0.4011777      0.9545650E-01
   0.3850047      0.9641451E-01
   0.3688662      0.9725373E-01
   0.3527663      0.9796955E-01
   0.3367099      0.9855707E-01
   0.3207029      0.9901106E-01
   0.3047529      0.9932601E-01
   0.2888709      0.9949608E-01
   0.2730739      0.9951528E-01
   0.2573903      0.9937776E-01
   0.2418714      0.9907868E-01
   0.2266113      0.9861626E-01
   0.2117788      0.9799597E-01
   0.1976524      0.9723032E-01
   0.1844073      0.9613889E-01
   0.1716346      0.9461620E-01
   0.1591616      0.9267323E-01
   0.1469144      0.9031443E-01
   0.1348702      0.8754424E-01
   0.1230344      0.8437008E-01
   0.1114328      0.8080451E-01
   0.1001094      0.7686802E-01
   0.8912809E-01  0.7259294E-01
   0.7857479E-01  0.6802840E-01
   0.6855769E-01  0.6324537E-01
   0.5920041E-01  0.5833870E-01
   0.5062424E-01  0.5342197E-01
   0.4292182E-01  0.4861249E-01
   0.3613334E-01  0.4401078E-01
   0.3023909E-01  0.3968439E-01
   0.2517113E-01  0.3566362E-01
   0.2083508E-01  0.3194813E-01
   0.1713031E-01  0.2851804E-01
   0.1396297E-01  0.2534389E-01
   0.1125208E-01  0.2239346E-01
   0.8930933E-02  0.1963563E-01
   0.6946376E-02  0.1704213E-01
   0.5257125E-02  0.1458823E-01
   0.3832031E-02  0.1225286E-01
   0.2648550E-02  0.1001856E-01
   0.1691383E-02  0.7871528E-02
   0.9512175E-03  0.5801664E-02
   0.4237509E-03  0.3804294E-02
   0.1067127E-03  0.1874769E-02
   0.3197473E-07  0.3163020E-04
   0.1063929E-03 -0.1786915E-02
   0.4667390E-03 -0.3626751E-02
   0.1122964E-02 -0.5436501E-02
   0.2101031E-02 -0.7169633E-02
   0.3401654E-02 -0.8781090E-02
   0.5007361E-02 -0.1024399E-01
   0.6896505E-02 -0.1155131E-01
   0.9055662E-02 -0.1271001E-01
   0.1148532E-01 -0.1373314E-01
   0.1420146E-01 -0.1463435E-01
   0.1723620E-01 -0.1542516E-01
   0.2063933E-01 -0.1611384E-01
   0.2448163E-01 -0.1670480E-01
   0.2886045E-01 -0.1719833E-01
   0.3390777E-01 -0.1759004E-01
   0.3980026E-01 -0.1787042E-01
   0.4676819E-01 -0.1802452E-01
   0.5509317E-01 -0.1803350E-01
   0.6507006E-01 -0.1788091E-01
   0.7689450E-01 -0.1756778E-01
   0.9046872E-01 -0.1713425E-01
   0.1052366     -0.1666818E-01
   0.1205041     -0.1627073E-01
   0.1358591     -0.1601703E-01
   0.1511375     -0.1595425E-01
   0.1663089     -0.1611260E-01
   0.1814147     -0.1651502E-01
   0.1965583     -0.1718562E-01
   0.2120073     -0.1802490E-01
   0.2277844     -0.1875449E-01
   0.2437733     -0.1936391E-01
   0.2599109     -0.1985943E-01
   0.2761617     -0.2024876E-01
   0.2925044     -0.2053984E-01
   0.3089254     -0.2074035E-01
   0.3254149     -0.2085757E-01
   0.3419655     -0.2089829E-01
   0.3585713     -0.2086888E-01
   0.3752273     -0.2077526E-01
   0.3919292     -0.2062298E-01
   0.4086732     -0.2041721E-01
   0.4254560     -0.2016277E-01
   0.4422745     -0.1986418E-01
   0.4591259     -0.1952565E-01
   0.4760078     -0.1915112E-01
   0.4929178     -0.1874424E-01
   0.5098537     -0.1830844E-01
   0.5268134     -0.1784688E-01
   0.5437951     -0.1736251E-01
   0.5607970     -0.1685804E-01
   0.5778173     -0.1633596E-01
   0.5948543     -0.1579859E-01
   0.6119065     -0.1524799E-01
   0.6289723     -0.1468608E-01
   0.6460502     -0.1411455E-01
   0.6631388     -0.1353491E-01
   0.6802367     -0.1294850E-01
   0.6973424     -0.1235647E-01
   0.7144546     -0.1175978E-01
   0.7315720     -0.1115925E-01
   0.7486932     -0.1055551E-01
   0.7658169     -0.9949011E-02
   0.7829418     -0.9340063E-02
   0.8000663     -0.8728810E-02
   0.8171887     -0.8115244E-02
   0.8343068     -0.7499228E-02
   0.8514168     -0.6880520E-02
   0.8685116     -0.6258850E-02
   0.8855766     -0.5634083E-02
   0.9025806     -0.5006585E-02
   0.9194547     -0.4378032E-02
   0.9360527     -0.3753033E-02
   0.9520876     -0.3141812E-02
   0.9670830     -0.2562588E-02
   0.9804580     -0.2038878E-02
   0.9918068     -0.1588664E-02
    1.000000     -0.1260000E-02
