MORPHED_PROFILE
1.000000 -0.001394
0.991941 0.000860
0.980997 0.003879
0.968348 0.007311
0.954338 0.011040
0.939423 0.014929
0.923980 0.018866
0.908252 0.022784
0.892372 0.026648
0.876408 0.030440
0.860392 0.034151
0.844341 0.037777
0.828264 0.041317
0.812166 0.044769
0.796049 0.048132
0.779915 0.051407
0.763766 0.054592
0.747604 0.057687
0.731430 0.060691
0.715245 0.063603
0.699051 0.066423
0.682849 0.069149
0.666641 0.071780
0.650428 0.074315
0.634212 0.076633
0.617995 0.078849
0.601777 0.080964
0.585561 0.082976
0.569349 0.084885
0.553142 0.086687
0.536942 0.088381
0.520752 0.089964
0.504573 0.091434
0.488410 0.092788
0.472266 0.094024
0.456147 0.095137
0.440065 0.096125
0.424039 0.096985
0.408106 0.097711
0.392343 0.098292
0.376754 0.098676
0.361262 0.098857
0.345839 0.098835
0.330475 0.098605
0.315166 0.098166
0.299917 0.097513
0.284731 0.096643
0.269616 0.095552
0.254579 0.094235
0.239629 0.092690
0.224778 0.090912
0.210039 0.088897
0.195428 0.086641
0.180962 0.084142
0.166668 0.081397
0.152575 0.078405
0.138725 0.075169
0.125173 0.071694
0.111995 0.067996
0.099290 0.064101
0.087186 0.060051
0.075834 0.055912
0.065386 0.051762
0.055963 0.047689
0.047622 0.043772
0.040348 0.040063
0.034063 0.036587
0.028654 0.033345
0.024001 0.030320
0.019988 0.027489
0.016518 0.024825
0.013510 0.022303
0.010899 0.019899
0.008635 0.017593
0.006678 0.015367
0.004999 0.013206
0.003580 0.011098
0.002406 0.009035
0.001469 0.007010
0.000766 0.005025
0.000292 0.003083
0.000045 0.001195
0.000013 -0.000628
0.000201 -0.002472
0.000644 -0.004342
0.001363 -0.006200
0.002369 -0.008018
0.003661 -0.009770
0.005232 -0.011444
0.007076 -0.013037
0.009194 -0.014550
0.011594 -0.015992
0.014298 -0.017369
0.017337 -0.018690
0.020756 -0.019962
0.024616 -0.021191
0.028997 -0.022380
0.033999 -0.023529
0.039749 -0.024633
0.046401 -0.025686
0.054122 -0.026668
0.063062 -0.027552
0.073322 -0.028305
0.084912 -0.028890
0.097725 -0.029282
0.111570 -0.029467
0.126224 -0.029452
0.141487 -0.029253
0.157202 -0.028896
0.173258 -0.028404
0.189574 -0.027802
0.206098 -0.027113
0.222789 -0.026356
0.239618 -0.025550
0.256557 -0.024710
0.273572 -0.023851
0.290616 -0.022989
0.307637 -0.022136
0.324614 -0.021304
0.341543 -0.020500
0.358430 -0.019733
0.375288 -0.019007
0.392143 -0.018329
0.409060 -0.017689
0.426048 -0.017035
0.443087 -0.016362
0.460164 -0.015675
0.477271 -0.014980
0.494398 -0.014280
0.511529 -0.013580
0.528649 -0.012884
0.545754 -0.012194
0.562841 -0.011514
0.579911 -0.010846
0.596966 -0.010193
0.614006 -0.009556
0.631032 -0.008936
0.648048 -0.008337
0.665054 -0.007872
0.682051 -0.007445
0.699041 -0.007040
0.716026 -0.006660
0.733006 -0.006304
0.749984 -0.005973
0.766959 -0.005667
0.783933 -0.005387
0.800907 -0.005133
0.817882 -0.004905
0.834857 -0.004702
0.851829 -0.004524
0.868794 -0.004371
0.885736 -0.004241
0.902622 -0.004135
0.919381 -0.004052
0.935864 -0.003990
0.951794 -0.003947
0.966725 -0.003922
0.980125 -0.003912
0.991614 -0.003910
1.000000 -0.003914
